"KMeanLabel","long_ref","lat_ref","st_width","length","start_point_lat","start_point_long","end_point_lat","end_point_long","accident_no","speed_lim","construction_no","event_no","congestion_no","delays_no","vehicle_breakdown_no","fire_no","signal_problem_no","weather_incident_no"
"58",-73.9364055725425,40.8252925840648,35.9166666666667,0.0708872732335225,40.8248697061589,-73.9363727159227,40.8257154619707,-73.9364384291623,2.72222222222222,25,6.52777777777778,0,0.0277777777777778,5.72222222222222,0.944444444444444,0.0555555555555556,0.222222222222222,0
"59",-73.9836401727353,40.7852782391775,32.6451612903226,0.0715920264965294,40.7849753852287,-73.9836383586466,40.7855810931262,-73.983641986824,3.03225806451613,25,8.29032258064516,1.38709677419355,0.0967741935483871,1.2258064516129,0.354838709677419,0.129032258064516,0.032258064516129,0.032258064516129
"60",-73.9496061836878,40.8288819323078,34.8363636363636,0.0633418591465171,40.8285547106637,-73.9495361357257,40.8292091539519,-73.9496762316499,2.98181818181818,25,2.01818181818182,0.0181818181818182,0,0.0909090909090909,0.527272727272727,0.109090909090909,0.0181818181818182,0
"61",-73.9239779274071,40.8669787818344,43.0322580645161,0.079804463192182,40.8666351532453,-73.9242645155202,40.8673224104235,-73.923691339294,2.61290322580645,20.6451612903226,0,0,0,0,0,0,0,0
"62",-73.9195035916134,40.79108748269,21.8153846153846,0.0372158178780387,40.7911420475835,-73.9196837922601,40.7910329177963,-73.9193233909668,8.01538461538462,25,27.9846153846154,1.03076923076923,0.323076923076923,39.4461538461538,3.04615384615385,0.4,0,2.36923076923077
"63",-73.9487109999011,40.7895766847938,37.2631578947368,0.0636670782359451,40.7895172743837,-73.9491343877992,40.789636095204,-73.9482876120029,2.23684210526316,25,0.973684210526316,1.60526315789474,0,0.0263157894736842,0,0.263157894736842,0.157894736842105,0.0263157894736842
"64",-73.9764859403879,40.7902082362373,41.2075471698113,0.0803316935937108,40.7898008219964,-73.9764196098868,40.7906156504782,-73.976552270889,1.52830188679245,25,0.754716981132076,0.490566037735849,0.0188679245283019,0.0754716981132075,0,0,0,0
"65",-73.9720208382844,40.7627204124041,44.8139534883721,0.0581681604376674,40.7626285001156,-73.9723576953759,40.7628123246926,-73.9716839811929,9.67441860465116,25,1.23255813953488,4.04651162790698,0.13953488372093,0.116279069767442,0.0232558139534884,0.116279069767442,0.186046511627907,0.0232558139534884
"66",-74.0079924255222,40.7345327216199,35.6896551724138,0.0561305497192363,40.7343727204078,-74.0077705165595,40.7346927228319,-74.0082143344849,1.06896551724138,24.9137931034483,0.706896551724138,0.482758620689655,0,0,0,0,0,0
"67",-73.9978444775973,40.7400230291045,46.0689655172414,0.116203146989465,40.739552427781,-73.9971627376615,40.740493630428,-73.9985262175332,7.93103448275862,25,12.1034482758621,4.79310344827586,0.103448275862069,0.0689655172413793,0.0344827586206897,0.517241379310345,0.206896551724138,0.0689655172413793
